# Constructed from biom file
#OTU ID	SRR12442322	SRR12442323	SRR12442324	SRR12442325	SRR12442331	SRR12442342	SRR12442353	SRR12442354	taxonomy
KJ759477.1.1802	123.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae
AF411273.1.1792	0.0	0.0	0.0	0.0	0.0	73.0	14.0	1.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Thecofilosea; f__Thecofilosea; g__uncultured; s__Cercozoa_sp.
KF129692.1.1759	9.0	9.0	17.0	3.0	42.0	2.0	3.0	19.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales; f__Chrysochromulinaceae; g__Chrysochromulina; s__uncultured_eukaryote
AB948147.1.1764	1.0	0.0	8.0	0.0	0.0	11.0	10.0	109.0	d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Skeletonema; s__Skeletonema_menzellii
KF129865.1.1761	3.0	38.0	14.0	0.0	11.0	3.0	3.0	17.0	d__Eukaryota; p__Dinoflagellata
AB275051.1.1738	0.0	0.0	0.0	0.0	0.0	1.0	0.0	61.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Thecofilosea; f__Thecofilosea; g__uncultured
KC583012.1.1800	10.0	9.0	8.0	2.0	78.0	1.0	12.0	4.0	d__Eukaryota; p__MAST-4; c__MAST-4; o__MAST-4; f__MAST-4; g__MAST-4; s__uncultured_eukaryote
KF130609.1.1753	0.0	16.0	15.0	0.0	2.0	101.0	28.0	10.0	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Trebouxiophyceae
KJ759397.1.1799	71.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae
KJ759475.1.1801	0.0	14.0	1.0	0.0	0.0	4.0	4.0	45.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_III; g__Syndiniales_Group_III; s__uncultured_marine
KJ760683.1.1795	1.0	7.0	12.0	0.0	16.0	10.0	0.0	28.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II; s__marine_metagenome
KY054986.1.1708	0.0	19.0	13.0	0.0	3.0	52.0	12.0	5.0	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae
KX532316.1.1337	16.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya; s__eukaryote_clone
GU825016.1.1204	12.0	5.0	2.0	10.0	55.0	2.0	0.0	16.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales
GU824785.1.1203	8.0	12.0	5.0	9.0	66.0	3.0	5.0	14.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales
FN690365.1.1703	6.0	26.0	0.0	34.0	1.0	1.0	4.0	1.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Thecofilosea; f__Thecofilosea; g__uncultured
KF130229.1.1762	12.0	47.0	4.0	20.0	43.0	1.0	2.0	8.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales; f__Chrysochromulinaceae; g__Chrysochromulina; s__uncultured_eukaryote
GU822961.1.1400	6.0	14.0	0.0	35.0	7.0	3.0	1.0	3.0	d__Eukaryota; p__Labyrinthulomycetes; c__uncultured; o__uncultured; f__uncultured; g__uncultured; s__uncultured_stramenopile
KX532313.1.1340	13.0	18.0	10.0	8.0	22.0	0.0	0.0	1.0	d__Eukaryota; p__MAST-4; c__MAST-4; o__MAST-4; f__MAST-4; g__MAST-4; s__uncultured_eukaryote
KF129652.1.1773	4.0	20.0	0.0	38.0	21.0	0.0	0.0	3.0	d__Eukaryota; p__Labyrinthulomycetes; c__uncultured; o__uncultured; f__uncultured; g__uncultured; s__uncultured_eukaryote
FJ973362.1	26.0	37.0	0.0	0.0	5.0	0.0	0.0	0.0	d__Eukaryota; p__Cercozoa; c__Chlorarachniophyta; o__Chlorarachniophyta; f__Chlorarachniaceae
KF129636.1.1772	13.0	27.0	4.0	1.0	67.0	1.0	11.0	6.0	d__Eukaryota; p__MAST-4; c__MAST-4; o__MAST-4; f__MAST-4; g__MAST-4; s__uncultured_eukaryote
KF130190.1.1760	4.0	10.0	9.0	18.0	5.0	0.0	0.0	0.0	d__Eukaryota; p__MAST-7; c__MAST-7B; o__MAST-7B; f__MAST-7B; g__MAST-7B; s__uncultured_eukaryote
JX188346.1.1760	4.0	13.0	1.0	2.0	10.0	7.0	2.0	22.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II; s__uncultured_eukaryote
AY256257.1.1224	0.0	0.0	0.0	0.0	0.0	15.0	7.0	35.0	d__Eukaryota; p__Diatomea; c__Bacillariophyceae; o__Bacillariophyceae; f__Bacillariophyceae; g__Pseudo-nitzschia; s__uncultured_stramenopile
KF129663.1.1757	8.0	19.0	0.0	0.0	16.0	3.0	2.0	44.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__OLI16029; s__uncultured_eukaryote
KJ763454.1.1804	36.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II
KF130458.1.1760	26.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II
KM516201.1.1600	2.0	2.0	0.0	0.0	0.0	2.0	12.0	35.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Thecofilosea; f__Thecofilosea; g__uncultured; s__Mataza_sp.
KJ763194.1.1798	13.0	33.0	12.0	0.0	0.0	0.0	0.0	4.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae
